"type" "activity" "subject" "mean"
"tbodyacc-mean-x" "laying" 1 0.22159824394
"tbodyacc-mean-x" "laying" 2 0.281373403958333
"tbodyacc-mean-x" "laying" 3 0.275516852741935
"tbodyacc-mean-x" "laying" 4 0.263559214981481
"tbodyacc-mean-x" "laying" 5 0.278334325576923
"tbodyacc-mean-x" "laying" 6 0.248656520140351
"tbodyacc-mean-x" "laying" 7 0.250176694038462
"tbodyacc-mean-x" "laying" 8 0.261254282907407
"tbodyacc-mean-x" "laying" 9 0.2591955368
"tbodyacc-mean-x" "laying" 10 0.280230574137931
"tbodyacc-mean-x" "laying" 11 0.280592970877193
"tbodyacc-mean-x" "laying" 12 0.260113433
"tbodyacc-mean-x" "laying" 13 0.276716360483871
"tbodyacc-mean-x" "laying" 14 0.233275439803922
"tbodyacc-mean-x" "laying" 15 0.2894756525
"tbodyacc-mean-x" "laying" 16 0.274227162571429
"tbodyacc-mean-x" "laying" 17 0.269780085577465
"tbodyacc-mean-x" "laying" 18 0.274691576923077
"tbodyacc-mean-x" "laying" 19 0.272653733493976
"tbodyacc-mean-x" "laying" 20 0.239507882205882
"tbodyacc-mean-x" "laying" 21 0.271325472455556
"tbodyacc-mean-x" "laying" 22 0.279959721194444
"tbodyacc-mean-x" "laying" 23 0.274038007986111
"tbodyacc-mean-x" "laying" 24 0.272850494930556
"tbodyacc-mean-x" "laying" 25 0.250791828613699
"tbodyacc-mean-x" "laying" 26 0.271645864540789
"tbodyacc-mean-x" "laying" 27 0.274102492432432
"tbodyacc-mean-x" "laying" 28 0.2759134825
"tbodyacc-mean-x" "laying" 29 0.287295196811594
"tbodyacc-mean-x" "laying" 30 0.281033900571429
"tbodyacc-mean-x" "sitting" 1 0.261237565425532
"tbodyacc-mean-x" "sitting" 2 0.27708735173913
"tbodyacc-mean-x" "sitting" 3 0.257197599134615
"tbodyacc-mean-x" "sitting" 4 0.27153827992
"tbodyacc-mean-x" "sitting" 5 0.273694139545455
"tbodyacc-mean-x" "sitting" 6 0.276778487454545
"tbodyacc-mean-x" "sitting" 7 0.284674637291667
"tbodyacc-mean-x" "sitting" 8 0.267491472934783
"tbodyacc-mean-x" "sitting" 9 0.24832674354
"tbodyacc-mean-x" "sitting" 10 0.270612056481481
"tbodyacc-mean-x" "sitting" 11 0.276590197358491
"tbodyacc-mean-x" "sitting" 12 0.275007224901961
"tbodyacc-mean-x" "sitting" 13 0.274328499591837
"tbodyacc-mean-x" "sitting" 14 0.279990577037037
"tbodyacc-mean-x" "sitting" 15 0.27290337979661
"tbodyacc-mean-x" "sitting" 16 0.280768574492754
"tbodyacc-mean-x" "sitting" 17 0.2773570196875
"tbodyacc-mean-x" "sitting" 18 0.27727001877193
"tbodyacc-mean-x" "sitting" 19 0.273830316164384
"tbodyacc-mean-x" "sitting" 20 0.278045439090909
"tbodyacc-mean-x" "sitting" 21 0.277539616823529
"tbodyacc-mean-x" "sitting" 22 0.273583822709677
"tbodyacc-mean-x" "sitting" 23 0.273351251617647
"tbodyacc-mean-x" "sitting" 24 0.273475690147059
"tbodyacc-mean-x" "sitting" 25 0.278541482461538
"tbodyacc-mean-x" "sitting" 26 0.258243530166667
"tbodyacc-mean-x" "sitting" 27 0.273941302571429
"tbodyacc-mean-x" "sitting" 28 0.276977629444444
"tbodyacc-mean-x" "sitting" 29 0.2771799775
"tbodyacc-mean-x" "sitting" 30 0.268336081379032
"tbodyacc-mean-x" "standing" 1 0.278917629056604
"tbodyacc-mean-x" "standing" 2 0.277911472222222
"tbodyacc-mean-x" "standing" 3 0.280046513278689
"tbodyacc-mean-x" "standing" 4 0.280499745892857
"tbodyacc-mean-x" "standing" 5 0.282544390892857
"tbodyacc-mean-x" "standing" 6 0.280346248596491
"tbodyacc-mean-x" "standing" 7 0.282723539433962
"tbodyacc-mean-x" "standing" 8 0.279620986111111
"tbodyacc-mean-x" "standing" 9 0.282310057333333
"tbodyacc-mean-x" "standing" 10 0.276650300681818
"tbodyacc-mean-x" "standing" 11 0.277715562765957
"tbodyacc-mean-x" "standing" 12 0.277405834918033
"tbodyacc-mean-x" "standing" 13 0.277758431052632
"tbodyacc-mean-x" "standing" 14 0.280545613833333
"tbodyacc-mean-x" "standing" 15 0.278915803962264
"tbodyacc-mean-x" "standing" 16 0.283497402948718
"tbodyacc-mean-x" "standing" 17 0.277942503333333
"tbodyacc-mean-x" "standing" 18 0.278458805890411
"tbodyacc-mean-x" "standing" 19 0.27817226
"tbodyacc-mean-x" "standing" 20 0.278076904657534
"tbodyacc-mean-x" "standing" 21 0.27695224258427
"tbodyacc-mean-x" "standing" 22 0.279053861587302
"tbodyacc-mean-x" "standing" 23 0.277899323235294
"tbodyacc-mean-x" "standing" 24 0.280348883913043
"tbodyacc-mean-x" "standing" 25 0.278013701621622
"tbodyacc-mean-x" "standing" 26 0.281127035405405
"tbodyacc-mean-x" "standing" 27 0.279566921625
"tbodyacc-mean-x" "standing" 28 0.277795069113924
"tbodyacc-mean-x" "standing" 29 0.277965065846154
"tbodyacc-mean-x" "standing" 30 0.277112699152542
"tbodyacc-mean-x" "walking" 1 0.277330758736842
"tbodyacc-mean-x" "walking" 2 0.276426586440678
"tbodyacc-mean-x" "walking" 3 0.275567462068966
"tbodyacc-mean-x" "walking" 4 0.278582015166667
"tbodyacc-mean-x" "walking" 5 0.27784234625
"tbodyacc-mean-x" "walking" 6 0.283658868070175
"tbodyacc-mean-x" "walking" 7 0.275592961754386
"tbodyacc-mean-x" "walking" 8 0.27468631
"tbodyacc-mean-x" "walking" 9 0.278502842115385
"tbodyacc-mean-x" "walking" 10 0.278574076603774
"tbodyacc-mean-x" "walking" 11 0.271821892881356
"tbodyacc-mean-x" "walking" 12 0.2771286656
"tbodyacc-mean-x" "walking" 13 0.275883130350877
"tbodyacc-mean-x" "walking" 14 0.271959598644068
"tbodyacc-mean-x" "walking" 15 0.273899207962963
"tbodyacc-mean-x" "walking" 16 0.276023564509804
"tbodyacc-mean-x" "walking" 17 0.272341855245902
"tbodyacc-mean-x" "walking" 18 0.273887758571429
"tbodyacc-mean-x" "walking" 19 0.273931172307692
"tbodyacc-mean-x" "walking" 20 0.272589336470588
"tbodyacc-mean-x" "walking" 21 0.279183526730769
"tbodyacc-mean-x" "walking" 22 0.27886459
"tbodyacc-mean-x" "walking" 23 0.273211884237288
"tbodyacc-mean-x" "walking" 24 0.276980816034483
"tbodyacc-mean-x" "walking" 25 0.278992759054054
"tbodyacc-mean-x" "walking" 26 0.279264443728814
"tbodyacc-mean-x" "walking" 27 0.276849485438596
"tbodyacc-mean-x" "walking" 28 0.281228223888889
"tbodyacc-mean-x" "walking" 29 0.271999916792453
"tbodyacc-mean-x" "walking" 30 0.276406758
"tbodyacc-mean-x" "walking downstairs" 1 0.289188320408163
"tbodyacc-mean-x" "walking downstairs" 2 0.27761534806383
"tbodyacc-mean-x" "walking downstairs" 3 0.292423484693878
"tbodyacc-mean-x" "walking downstairs" 4 0.279965329555556
"tbodyacc-mean-x" "walking downstairs" 5 0.29354392712766
"tbodyacc-mean-x" "walking downstairs" 6 0.277045258145833
"tbodyacc-mean-x" "walking downstairs" 7 0.28030708
"tbodyacc-mean-x" "walking downstairs" 8 0.283484089210526
"tbodyacc-mean-x" "walking downstairs" 9 0.295923445
"tbodyacc-mean-x" "walking downstairs" 10 0.290401594315789
"tbodyacc-mean-x" "walking downstairs" 11 0.291605631956522
"tbodyacc-mean-x" "walking downstairs" 12 0.281521097391304
"tbodyacc-mean-x" "walking downstairs" 13 0.294907553404255
"tbodyacc-mean-x" "walking downstairs" 14 0.293422115555556
"tbodyacc-mean-x" "walking downstairs" 15 0.280198851190476
"tbodyacc-mean-x" "walking downstairs" 16 0.295586802191489
"tbodyacc-mean-x" "walking downstairs" 17 0.29391828326087
"tbodyacc-mean-x" "walking downstairs" 18 0.288439468909091
"tbodyacc-mean-x" "walking downstairs" 19 0.262688053871795
"tbodyacc-mean-x" "walking downstairs" 20 0.296144421355556
"tbodyacc-mean-x" "walking downstairs" 21 0.3014610196
"tbodyacc-mean-x" "walking downstairs" 22 0.284458963861111
"tbodyacc-mean-x" "walking downstairs" 23 0.289897411148148
"tbodyacc-mean-x" "walking downstairs" 24 0.288631208909091
"tbodyacc-mean-x" "walking downstairs" 25 0.291329666206897
"tbodyacc-mean-x" "walking downstairs" 26 0.2792845828
"tbodyacc-mean-x" "walking downstairs" 27 0.2975441875
"tbodyacc-mean-x" "walking downstairs" 28 0.293642076521739
"tbodyacc-mean-x" "walking downstairs" 29 0.293140441083333
"tbodyacc-mean-x" "walking downstairs" 30 0.283190646967742
"tbodyacc-mean-x" "walking upstairs" 1 0.255461689622641
"tbodyacc-mean-x" "walking upstairs" 2 0.247164790395833
"tbodyacc-mean-x" "walking upstairs" 3 0.260819873067797
"tbodyacc-mean-x" "walking upstairs" 4 0.270876696730769
"tbodyacc-mean-x" "walking upstairs" 5 0.268459469914894
"tbodyacc-mean-x" "walking upstairs" 6 0.268229355098039
"tbodyacc-mean-x" "walking upstairs" 7 0.248706923078431
"tbodyacc-mean-x" "walking upstairs" 8 0.258880152048781
